Cu_Cu_A,O_O_A,Yamaguchi_unpaired_zero,active_NOON_L2_pm_h,active_sigma_min_pm_h,active_sigma_min_zero_to_field_h,alpha_xx_dipole_5point_au,alpha_xx_dipole_h_au,alpha_xx_energy_2h_au,alpha_xx_energy_5point_au,alpha_xx_energy_h_au,energy_dipole_relative_difference_5point,energy_dipole_relative_difference_h,h_vs_2h_relative_difference,max_terminal_orbital_gradient,point,zero_energy_Eh
3.1719118036324034,1.8000000055827297,2.795803119807984,1.1564533016418099e-08,0.9999977112550623,0.999999427494762,,121.08646334024797,,,121.08945520594716,,2.470789627468573e-05,,6.717160976469546e-07,011,-3806.0127817177536
3.1124340356586813,1.849999334938016,2.8770735548024735,1.3065453387595306e-07,0.9999975570870648,0.9999993889394282,,121.80995376948545,,,121.8133547808975,,2.791985671989141e-05,,7.520366976940812e-07,012,-3806.0083666243218
3.05760524844613,1.899999204500111,2.9372808949016087,7.506286362214899e-08,0.9999973776199991,0.9999993442777708,,123.07553292063744,,,123.08076838962734,,4.2536856556836534e-05,,8.335551965877669e-07,013,-3806.004332447358
3.007710261601799,1.9499998811119668,2.9696059993366504,1.1766547640583365e-08,0.9999971624311298,0.9999992905856007,,124.80829820088957,,,124.81665180530399,,6.692700287662193e-05,,9.043054522795207e-07,014,-3806.000885282036
2.9610769167895064,2.00000052475993,2.975297464912125,5.156517945478426e-08,0.9999969155876064,0.9999992288705354,,126.82844512843872,,,126.83417298831046,,4.5160225645719274e-05,,2.2246254264016033e-06,015,-3805.998259561163
2.9194002466915006,2.0500002949085117,2.966645374194043,1.1040997049079365e-08,0.9999966466441388,0.9999991616424722,,128.85194760696095,,,128.8599887629971,,6.240227174730054e-05,,2.6810657127092658e-06,016,-3805.996122264008
2.8799862781772205,2.1000001070137237,2.9519722530301404,9.232207887243427e-09,0.99999637724068,0.9999990942937378,,130.75056675330643,,,130.75863535050303,,6.170603704275087e-05,,9.120736445865181e-07,017,-3805.9943912876874
2.844474134579034,2.1500001328283678,2.941360171125903,4.16421589850285e-08,0.9999961119165851,0.9999990279066565,,132.3968683066994,,,132.40500993561,,6.149033873088856e-05,,9.833812070552067e-07,018,-3805.9927396529674
2.810634729836028,2.1999996512379325,2.9355951762901773,2.98007266247515e-08,0.9999958778125537,0.9999989694222383,,133.78987101918938,,,133.79973825067282,,7.374626895722381e-05,,8.27426216779648e-07,019,-3805.991153758301
2.780287578708422,2.250000122232603,2.939602503030683,2.3087363460504758e-08,0.9999956686507966,0.9999989171356303,,134.91589433340323,,,134.9218946415931,,4.4472457237631855e-05,,1.886565123967196e-06,020,-3805.98943524257
2.7512097362626995,2.299999574389985,2.950804597578169,2.0020758987551928e-08,0.9999955068755035,0.9999988766820662,,135.77817213572985,,,135.78547805082053,,5.380483388620182e-05,,3.6369917449513575e-06,021,-3805.9876572956346
2.7235150849456327,2.3500005858514528,2.968189868914483,3.5523496913148884e-08,0.9999953703498607,0.9999988425567216,,136.46881485180984,,,136.4782510790974,,6.914088664634618e-05,,7.319200748067245e-07,022,-3805.9854636740743
2.6975593411216106,2.4000003310614177,2.993659338389461,4.9381971911642985e-08,0.9999952789585683,0.999998819707213,,136.94129536236233,,,136.94952940568328,,6.012465582530204e-05,,2.2219629172597182e-06,023,-3805.9830222351397
2.6732639364779978,2.4500001705221033,3.0267349625931885,2.8126106441933647e-08,0.9999952309761461,0.999998807704284,,137.21302665652502,,,137.22262519877404,,6.994868546727647e-05,,7.960096826103446e-07,024,-3805.980283530767
2.6503701595672764,2.4999999807938864,3.0667022031633637,4.51436838711334e-08,0.9999952253540259,0.9999988062982192,,137.30120434107107,,,137.30901991948485,,5.691962857477487e-05,,3.9884392768302485e-06,025,-3805.977227110541
